"subject","trial","action","object","location","relation","...7","step"
1,7,"stepnear",NA,NA,NA,NA,1
1,7,"pickup","mug","table","from",NA,2
1,7,"pickup","kettle","table","from",NA,3
1,7,"pour","water","mug","into",NA,4
1,7,"put","mug","table","on",NA,5
1,7,"put","kettle","table","on",NA,6
1,7,"pickup","teabag","box","from",NA,7
1,7,"put","teabag","mug","into",NA,8
1,7,"pickup","shaker","table","from",NA,9
1,7,"pour","sugar","mug","into",NA,10
1,7,"put","shaker","table","on",NA,11
1,7,"pickup","spoon","table","from",NA,12
1,7,"mix","tea","mug","in",NA,13
1,7,"put","spoon","table","on",NA,14
1,7,"pickup","teabag","mug","from",NA,15
1,7,"put","teabag","cup","into",NA,16
1,7,"pickup","mug","table","from",NA,17
1,7,"drink",NA,NA,NA,NA,18
