"subject","trial","action","object","location","relation","...7","step"
8,6,"stepnear",NA,NA,NA,NA,1
8,6,"pickup","mug","table","from",NA,2
8,6,"put","mug","table","on",NA,3
8,6,"pickup","teabag","box","from",NA,4
8,6,"put","teabag","mug","into",NA,5
8,6,"pickup","kettle","table","from",NA,6
8,6,"pour","water","mug","into",NA,7
8,6,"put","kettle","table","on",NA,8
8,6,"pickup","spoon","table","from",NA,9
8,6,"pickup","teabag","mug","from",NA,10
8,6,"put","teabag","cup","into",NA,11
8,6,"put","spoon","table","on",NA,12
8,6,"pickup","shaker","table","from",NA,13
8,6,"pickup","spoon","table","from",NA,14
8,6,"pour","sugar","mug","into",NA,15
8,6,"put","shaker","table","on",NA,16
8,6,"mix","tea","mug","in",NA,17
8,6,"put","spoon","table","on",NA,18
8,6,"pickup","mug","table","from",NA,19
8,6,"drink",NA,NA,NA,NA,20
