"subject","trial","action","object","location","relation","...7","step"
1,6,"stepnear",NA,NA,NA,NA,1
1,6,"pickup","mug","table","from",NA,2
1,6,"put","mug","table","on",NA,3
1,6,"pickup","teabag","box","from",NA,4
1,6,"put","teabag","mug","into",NA,5
1,6,"pickup","kettle","table","from",NA,6
1,6,"pickup","mug","table","from",NA,7
1,6,"pour","water","mug","into",NA,8
1,6,"put","kettle","table","on",NA,9
1,6,"put","mug","table","on",NA,10
1,6,"pickup","shaker","table","from",NA,11
1,6,"pour","sugar","mug","into",NA,12
1,6,"put","shaker","table","on",NA,13
1,6,"pickup","spoon","table","from",NA,14
1,6,"mix","tea","mug","in",NA,15
1,6,"put","spoon","table","on",NA,16
1,6,"pickup","teabag","mug","from",NA,17
1,6,"put","teabag","cup","into",NA,18
1,6,"pickup","mug","table","from",NA,19
1,6,"drink",NA,NA,NA,NA,20
