"subject","trial","action","object","location","relation","...7","step"
8,10,"stepnear",NA,NA,NA,NA,1
8,10,"pickup","teabag","box","from",NA,2
8,10,"put","teabag","mug","into",NA,3
8,10,"pickup","kettle","table","from",NA,4
8,10,"pour","water","mug","into",NA,5
8,10,"put","kettle","table","on",NA,6
8,10,"pickup","spoon","table","from",NA,7
8,10,"pickup","teabag","mug","from",NA,8
8,10,"put","spoon","table","on",NA,9
8,10,"put","teabag","cup","into",NA,10
8,10,"pickup","shaker","table","from",NA,11
8,10,"pour","sugar","mug","into",NA,12
8,10,"put","shaker","table","on",NA,13
8,10,"pickup","spoon","table","from",NA,14
8,10,"mix","tea","mug","in",NA,15
8,10,"put","spoon","table","on",NA,16
8,10,"pickup","mug","table","from",NA,17
8,10,"drink",NA,NA,NA,NA,18
